Ruta;Descripción;Km por Viaje;Tarifa Vigente
157;SAN JOSE-TURRUJAL DE ACOSTA (BUSETAS);;
;SAN JOSE-TURRUJAL DE ACOSTA;33;790
;;;
157;SAN JOSE-SAN GABRIEL DE ASERRI;(GPS);
;SAN JOSE-SAN GABRIEL DE ASERRI;27,38;860
;SAN JOSE-LA FILA;23,05;760
;SAN JOSE-TARBACA;18;760
;TARIFA MINIMA;0;455
;;;
157;SAN JOSE-SAN GABRIEL DE ASERRI (BUSETAS);(GPS);
;SAN JOSE-SAN GABRIEL DE ASERRI;27,38;860
;;;
157;SAN JOSE-SAN IGNACIO DE ACOSTA;(GPS);
;SAN JOSE-SAN IGNACIO;29,72;945
;SAN JOSE-VUELTA DE JORCO;24,32;800
;SAN JOSE-TARBACA;17,36;800
;TARIFA MINIMA;0;480
;;;
194;ACOSTA-VUELTA DE JORCO-MONTE REDONDO;(GPS);
;SAN IGNACIO DE ACOSTA-MONTE REDONDO;6,3;225
;SAN IGNACIO DE ACOSTA-VUELTA DE JORCO;4,03;155
;;;
170;SAN IGNACIO DE ACOSTA-TERUEL;;
;ACOSTA-TERUEL;22,8;940
;ACOSTA-SABANILLA;18,3;730
;ACOSTA-MONTAÑA;16,2;665
;ACOSTA-NARANJAL;13,7;545
;ACOSTA-CANGREJAL;10,3;445
;ACOSTA-ENTRADA A CEIBO;9,6;360
;ACOSTA-SALITRAL;8,6;360
;ACOSTA-RESBALON ARRIBA;3,2;210
;ACOSTA-RESBALON ABAJO;1,9;160
;ACOSTA-SAN LUIS;1,5;160
;;;
634;PARRITA-BIJAGUAL;;
;PARRITA-BIJAGUAL;18,7;535
;PARRITA-SUBRES;12,2;445
;PARRITA-SARDINAL NORTE;12,46666667;340
;PARRITA-SARDINAL;6,7;265
;;;
125;SAN JOSE-FRAILES-BUSTAMANTE;(GPS);
;SAN JOSE-BUSTAMANTE;41,4;1650
;SAN JOSE-FRAILES;37,05;1650
;SAN JOSE-CORRALILLO;35,19;1325
;SAN JOSE-SANTA ELENA;33,33;1325
;SAN JOSE-RIO CONEJO;28,24;1325
;SAN JOSE-ROSARIO;24,78;945
;SAN JOSE-TRANQUERILLA;21,5;805
;SAN JOSE-TARBACA;18;805
;TARIFA MINIMA;0;480
;;;
126;SAN JOSE-SAN JUAN DE TOBOSI-LOMA LARGA Y VICEVERSA;(GPS);
;SAN JOSE-LOMA LARGA;27,07;1535
;SAN JOSE-RIO CONEJO;24,98;1535
;SAN JOSE-SAN JUAN SUR;22,4;1255
;SAN JOSE-SAN JUAN NORTE;21,18;1255
;SAN JOSE-GUADARRAMA;19,77;915
;SAN JOSE-JERICO;15,45;915
;TARIFA MINIMA;0;365
;;;
131;CARTAGO-EL ALUMBRE-SAN JUAN SUR Y NORTE-LOMA LARGA;(GPS);
;CARTAGO-LOMA LARGA;31,9;1710
;CARTAGO-SAN JUAN SUR;27,3;1515
;CARTAGO-SAN JUAN NORTE;26,1;1385
;CARTAGO-SAN ISIDRO DE EL ALUMBRE;22,7;1160
